hypervisor,host,guest,ram,randread runtime (ms),randwrite runtime (ms),seqread runtime (ms),seqwrite runtime (ms)
vbox,windows,debian,2,49819.0,24484.0,2157.0,3756.0
vbox,windows,debian,2,43116.0,28182.0,2179.0,4483.0
vbox,windows,debian,2,41405.0,24806.0,2297.0,3600.0
vbox,windows,debian,2,39932.0,22617.0,2350.0,3424.0
vbox,windows,debian,2,39570.0,21304.0,2283.0,3426.0
vbox,windows,ubuntu,2,36752.0,14805.0,2193.0,3537.0
vbox,windows,ubuntu,2,37764.0,17081.0,2536.0,4350.0
vbox,windows,ubuntu,2,38854.0,17572.0,2148.0,3505.0
vbox,windows,ubuntu,2,37696.0,21629.0,2683.0,3869.0
vbox,windows,ubuntu,2,37504.0,17345.0,2167.0,3425.0
vmware,windows,centos,2,44565.0,34438.0,3069.0,4265.0
vmware,windows,centos,2,47397.0,37926.0,3232.0,4535.0
vmware,windows,centos,2,47796.0,39266.0,3228.0,4071.0
vmware,windows,centos,2,46575.0,40048.0,3502.0,4652.0
vmware,windows,centos,2,47478.0,38240.0,3299.0,4291.0
vbox,windows,debian,4,47357.0,24013.0,4437.0,4783.0
vbox,windows,debian,4,44697.0,16139.0,2400.0,3191.0
vbox,windows,debian,4,46075.0,16124.0,2423.0,3186.0
vbox,windows,debian,4,46346.0,15685.0,2346.0,3108.0
vbox,windows,debian,4,44696.0,16964.0,2298.0,3514.0
vmware,windows,debian,2,41772.0,25156.0,2499.0,3551.0
vmware,windows,debian,2,43796.0,30130.0,2782.0,3893.0
vmware,windows,debian,2,50001.0,32643.0,4948.0,4809.0
vmware,windows,debian,2,42857.0,28618.0,2973.0,3778.0
vmware,windows,debian,2,45030.0,30165.0,3023.0,3741.0
vbox,windows,ubuntu,4,36288.0,9253.0,2142.0,3972.0
vbox,windows,ubuntu,4,38344.0,9992.0,2136.0,3226.0
vbox,windows,ubuntu,4,60001.0,10860.0,3636.0,3508.0
vbox,windows,ubuntu,4,55895.0,11189.0,2913.0,3312.0
vbox,windows,ubuntu,4,47625.0,12103.0,2640.0,3714.0
vmware,windows,centos,4,60001.0,15777.0,2491.0,2739.0
vmware,windows,centos,4,49421.0,14516.0,3110.0,3301.0
vmware,windows,centos,4,47968.0,15440.0,2929.0,3266.0
vmware,windows,centos,4,49409.0,14560.0,2922.0,3494.0
vmware,windows,centos,4,48519.0,15238.0,2806.0,3145.0
vbox,mac,centos,2,60001.0,27912.0,1932.0,3107.0
vbox,mac,centos,2,60001.0,28951.0,1909.0,3083.0
vbox,mac,centos,2,60001.0,29017.0,2893.0,3310.0
vbox,mac,centos,2,60001.0,27126.0,2893.0,3168.0
vbox,mac,centos,2,60001.0,30592.0,3016.0,3259.0
vbox,mac,debian,4,39357.0,11039.0,2024.0,2363.0
vbox,mac,debian,4,42404.0,11617.0,2939.0,2504.0
vbox,mac,debian,4,47832.0,12422.0,2431.0,2607.0
vbox,mac,debian,4,47766.0,12663.0,2823.0,2549.0
vbox,mac,debian,4,44143.0,12573.0,1976.0,2464.0
vmware,mac,ubuntu,4,54580.0,20004.0,4111.0,5942.0
vmware,mac,ubuntu,4,57453.0,23761.0,3999.0,8005.0
vmware,mac,ubuntu,4,46817.0,17112.0,4262.0,5520.0
vmware,mac,ubuntu,4,49156.0,21801.0,3893.0,8295.0
vmware,mac,ubuntu,4,49678.0,18225.0,6493.0,6749.0
vmware,mac,ubuntu,5,53617.0,22609.0,4206.0,4458.0
vmware,mac,ubuntu,5,53768.0,18627.0,5162.0,5388.0
vmware,mac,ubuntu,5,59165.0,16599.0,5450.0,5037.0
vmware,mac,ubuntu,5,49495.0,17202.0,11375.0,10054.0
vmware,mac,ubuntu,5,52266.0,14928.0,4238.0,6678.0
vbox,mac,debian,5,43960.0,8264.0,2213.0,2484.0
vbox,mac,debian,5,36360.0,9464.0,2945.0,2407.0
vbox,mac,debian,5,43356.0,9665.0,2378.0,2484.0
vbox,mac,debian,5,41353.0,9770.0,2412.0,2406.0
vbox,mac,debian,5,39369.0,9641.0,2139.0,2480.0
vbox,mac,centos,5,45338.0,5225.0,2653.0,2470.0
vbox,mac,centos,5,41742.0,5447.0,3638.0,2482.0
vbox,mac,centos,5,39628.0,5350.0,1666.0,2461.0
vbox,mac,centos,5,48063.0,5124.0,11261.0,2750.0
vbox,mac,centos,5,39911.0,4735.0,11120.0,2455.0
vbox,windows,ubuntu,5,46664.0,6333.0,2093.0,2778.0
vbox,windows,ubuntu,5,37959.0,7138.0,2274.0,3031.0
vbox,windows,ubuntu,5,37934.0,6727.0,2103.0,2855.0
vbox,windows,ubuntu,5,37130.0,6862.0,2243.0,2801.0
