hypervisor,host,guest,ram,CPU Total Time,Mem Throughput
vbox,mac,centos,2,495.59,16347.59
vbox,mac,centos,2,494.51,18085.28
vbox,mac,centos,2,463.47,16093.62
vbox,mac,centos,2,498.1,16318.78
vbox,mac,centos,2,499.57,16566.78
vbox,mac,centos,4,499.57,17378.96
vbox,mac,centos,4,497.15,15639.3
vbox,mac,centos,4,500.99,16876.33
vbox,mac,centos,4,500.72,16701.37
vbox,mac,centos,4,499.31,17080.62
vbox,mac,ubuntu,4,490.18,12703.85
vbox,mac,ubuntu,4,471.97,14970.16
vbox,mac,ubuntu,4,475.7,15197.56
vbox,mac,ubuntu,4,488.2,15229.97
vbox,mac,ubuntu,4,493.92,15450.23
vbox,windows,centos,4,452.97,16300.39
vbox,windows,centos,4,465.71,15865.26
vbox,windows,centos,4,414.11,16179.27
vbox,windows,centos,4,193.01,4015.57
vbox,windows,centos,4,207.92,4136.59
vbox,windows,ubuntu,4,442.64,16561.79
vbox,windows,ubuntu,4,376.84,14083.39
vbox,windows,ubuntu,4,381.2,14825.87
vbox,windows,ubuntu,4,354.6,12929.71
vbox,windows,ubuntu,4,357.18,13439.0
vmware,mac,centos,2,466.64,16817.97
vmware,mac,centos,2,471.85,15707.4
vmware,mac,centos,2,472.22,16781.22
vmware,mac,centos,2,472.5,15777.59
vmware,mac,centos,2,472.73,15760.87
vmware,mac,centos,4,469.66,16110.13
vmware,mac,centos,4,415.46,16003.15
vmware,mac,centos,4,470.14,15940.56
vmware,mac,centos,4,470.01,15745.25
vmware,mac,centos,4,446.16,15828.17
vmware,mac,centos,8,279.88,4862.63
vmware,mac,centos,8,477.48,15559.15
vmware,mac,centos,8,472.62,16334.97
vmware,mac,centos,8,433.31,14425.2
vmware,mac,centos,8,461.72,15424.11
vmware,mac,debian,2,468.61,16746.62
vmware,mac,debian,2,470.75,17021.07
vmware,mac,debian,2,479.29,17524.85
vmware,mac,debian,2,478.31,16773.08
vmware,mac,debian,2,470.3,16267.59
vmware,mac,debian,4,470.95,16351.77
vmware,mac,debian,4,471.53,17540.01
vmware,mac,debian,4,481.33,14278.81
vmware,mac,debian,4,472.96,17442.63
vmware,mac,debian,4,479.54,17149.19
vmware,mac,debian,8,357.2,15296.67
vmware,mac,debian,8,448.06,11915.16
vmware,mac,debian,8,445.0,16217.78
vmware,mac,debian,8,452.96,14992.89
vmware,mac,debian,8,451.9,15697.62
vmware,mac,ubuntu,2,473.13,15179.64
vmware,mac,ubuntu,2,470.8,15258.48
vmware,mac,ubuntu,2,470.28,15061.74
vmware,mac,ubuntu,2,466.46,15054.33
vmware,mac,ubuntu,2,470.78,14920.78
vmware,mac,ubuntu,4,454.99,15475.31
vmware,mac,ubuntu,4,482.5,13925.49
vmware,mac,ubuntu,4,480.96,14852.65
vmware,mac,ubuntu,4,469.22,14858.64
vmware,mac,ubuntu,4,477.09,14998.6
vmware,mac,ubuntu,8,387.02,14303.44
vmware,mac,ubuntu,8,423.27,14736.36
vmware,mac,ubuntu,8,439.48,14616.62
vmware,mac,ubuntu,8,422.94,13882.99
vmware,mac,ubuntu,8,428.3,12968.77
vmware,windows,centos,4,445.49,16126.99
vmware,windows,centos,4,428.39,14785.57
vmware,windows,centos,4,476.72,17941.0
vmware,windows,centos,4,452.27,15907.06
vmware,windows,centos,4,417.72,15619.31
vmware,windows,debian,4,493.83,17249.18
vmware,windows,debian,4,490.65,17879.11
vmware,windows,debian,4,471.97,14938.55
vmware,windows,debian,4,486.68,18455.02
vmware,windows,debian,4,490.15,16414.63
vmware,windows,ubuntu,4,480.96,13784.57
vmware,windows,ubuntu,4,456.89,16440.89
vmware,windows,ubuntu,4,479.49,16819.96
vmware,windows,ubuntu,4,452.7,15973.67
vmware,windows,ubuntu,4,466.29,16644.96
